Number of Vertices,Time Q1 (ms),Time Q2 (ms)
76,6.010293960571289,0.0
77,6.020545959472656,1.0004043579101562
78,6.00123405456543,0.0
79,6.016016006469727,0.0
80,6.982088088989258,1.0006427764892578
81,7.0018768310546875,0.0
82,8.00323486328125,0.0
83,7.018804550170898,0.0
84,7.01451301574707,0.0
85,6.995916366577148,0.0
86,7.988214492797852,0.9996891021728516
87,7.003068923950195,1.0004043579101562
88,9.001731872558594,0.0
89,8.020639419555664,0.9999275207519531
90,7.983207702636719,0.0
91,8.01992416381836,0.0
92,7.988214492797852,0.0
93,10.003805160522461,0.99945068359375
94,9.001970291137695,0.0
95,9.015560150146484,0.0
96,10.008573532104492,0.0
97,8.996248245239258,1.0004043579101562
98,9.988546371459961,0.0
99,10.000467300415039,0.0
100,9.021759033203125,0.9806156158447266
101,10.02192497253418,0.0
102,10.996103286743164,1.0001659393310547
103,11.016845703125,0.0
104,10.001182556152344,0.0
105,11.013984680175781,1.0004043579101562
106,11.008501052856445,1.0004043579101562
107,11.008739471435547,0.0
108,11.00921630859375,0.0
109,11.008501052856445,0.9799003601074219
110,12.017011642456055,0.0
111,11.008024215698242,0.0
112,12.005090713500977,0.0
113,12.004375457763672,0.0
114,12.017488479614258,0.9999275207519531
115,12.996673583984375,0.0
116,13.022899627685547,0.0
117,14.022111892700195,0.0
118,13.997316360473633,0.0
119,13.009071350097656,0.0
120,13.002872467041016,1.0006427764892578
121,14.002799987792969,0.9863376617431641
122,14.010906219482422,0.0
123,13.99683952331543,1.0023117065429688
124,15.002250671386719,0.0
125,15.008926391601562,0.0
126,16.00337028503418,0.0
127,15.009880065917969,0.0
128,16.01719856262207,0.0
129,16.002655029296875,0.0
130,16.00170135498047,0.0
131,16.004085540771484,0.0
132,17.00305938720703,0.0
133,17.00425148010254,0.0
134,17.01068878173828,0.0
135,17.01188087463379,1.0001659393310547
136,18.00394058227539,0.0
137,17.023563385009766,0.9999275207519531
138,18.004179000854492,1.0004043579101562
139,18.004179000854492,0.9999275207519531
140,19.005298614501953,0.0
141,19.01531219482422,0.0
142,19.01078224182129,0.0
143,19.010305404663086,1.0004043579101562
144,20.0045108795166,0.9999275207519531
145,20.016193389892578,0.0
146,20.010948181152344,0.0
147,20.017385482788086,1.0006427764892578
148,21.004676818847656,0.9949207305908203
149,21.00372314453125,0.0
150,21.017789840698242,1.0001659393310547
151,21.992206573486328,1.0001659393310547
152,22.01104164123535,0.0
153,22.005796432495117,1.0004043579101562
154,22.00794219970703,1.0004043579101562
155,22.019147872924805,1.0001659393310547
156,24.008750915527344,0.9996891021728516
157,23.0252742767334,0.9939670562744141
158,24.088621139526367,0.9937286376953125
159,23.018360137939453,0.9939670562744141
160,24.00493621826172,1.0013580322265625
161,25.00462532043457,0.0
162,24.00374412536621,1.0077953338623047
163,25.01821517944336,0.0
164,24.998188018798828,0.0
165,25.02584457397461,0.0
166,25.99787712097168,0.0
167,26.02410316467285,0.0
168,28.00440788269043,0.0
169,26.026248931884766,0.9937286376953125
170,27.01258659362793,0.0
171,28.005599975585938,0.0
172,27.005910873413086,1.0063648223876953
173,27.994394302368164,1.0063648223876953
174,29.012441635131836,0.0
175,29.000043869018555,1.0001659393310547
176,28.01227569580078,1.0001659393310547
177,29.000043869018555,0.0
178,29.006004333496094,1.0073184967041016
179,28.99956703186035,1.007080078125
180,30.00664710998535,1.0001659393310547
181,28.996706008911133,1.0004043579101562
182,30.992746353149414,1.0001659393310547
183,30.02643585205078,1.0001659393310547
184,32.007455825805664,0.9999275207519531
185,31.007051467895508,1.0008811950683594
186,32.027244567871094,0.0
187,33.006906509399414,1.0001659393310547
188,33.0049991607666,0.0
189,34.00778770446777,0.0
190,33.01548957824707,1.0001659393310547
191,35.00771522521973,0.0
192,36.01813316345215,1.0006427764892578
193,35.007476806640625,1.007080078125
194,34.99960899353027,0.0
195,35.01486778259277,0.0
196,35.01319885253906,0.9922981262207031
197,36.02170944213867,0.0
198,37.027835845947266,1.0004043579101562
199,38.00845146179199,0.0
200,36.01336479187012,1.0135173797607422
201,36.01408004760742,1.0001659393310547
202,39.0777587890625,0.0
203,39.014577865600586,1.0001659393310547
204,40.01474380493164,1.0006427764892578
205,39.002418518066406,1.0006427764892578
206,41.02921485900879,0.0
207,40.00258445739746,1.0004043579101562
208,43.015480041503906,0.0
209,42.01340675354004,1.0001659393310547
210,42.00339317321777,1.0001659393310547
211,42.01555252075195,1.0004043579101562
212,43.00355911254883,1.0061264038085938
213,43.01047325134277,1.0061264038085938
214,45.011281967163086,1.004934310913086
215,42.99330711364746,1.0004043579101562
216,48.02441596984863,0.0
217,46.01788520812988,0.7755756378173828
218,46.167612075805664,1.0001659393310547
219,46.01788520812988,0.0
220,47.03021049499512,0.9944438934326172
221,47.01638221740723,1.0001659393310547
222,47.02949523925781,1.0004043579101562
223,47.003984451293945,1.0001659393310547
224,46.9975471496582,0.9992122650146484
225,45.02224922180176,1.0063648223876953
226,46.02956771850586,1.0001659393310547
227,47.01662063598633,0.9999275207519531
228,49.03125762939453,1.0006427764892578
229,48.0036735534668,0.9999275207519531
230,49.0107536315918,0.9939670562744141
231,49.10778999328613,0.9937286376953125
232,50.017356872558594,0.0
233,50.01044273376465,1.0192394256591797
234,51.01156234741211,1.0001659393310547
235,51.01180076599121,1.0030269622802734
236,53.009986877441406,1.0037422180175781
