ArraySize,HybridSort,MergeSort
112,0.2832080000000019,0.2854159999999979
113,0.25866600000000517,0.265790999999993
114,0.27300000000000324,0.2992500000000007
115,0.2899579999999986,0.2887920000000008
116,0.320332999999998,0.3418750000000017
117,0.30829200000000156,0.29683300000000656
118,0.2895409999999998,0.2796249999999958
119,0.28383300000000133,0.28658399999999773
120,0.3016669999999948,0.2906249999999986
121,0.31141599999999414,0.3056660000000022
122,0.3079579999999993,0.29887500000000244
123,0.32287500000000335,0.4002919999999932
124,0.3302090000000035,0.3181249999999949
125,0.3416250000000005,0.33645800000000037
126,0.3430409999999995,0.3382080000000016
127,0.34787500000000193,0.3383749999999992
128,0.3565840000000051,0.33995799999999576
129,0.3567499999999981,0.33595900000000967
130,0.3556249999999963,0.34899999999999665
131,0.3424590000000052,0.3474170000000001
132,0.3678339999999949,0.35487499999999983
133,0.3584999999999994,0.34754200000000424
134,0.3703749999999957,0.37025000000000574
135,0.3649169999999984,0.36291700000000304
136,0.3984169999999949,0.3723749999999981
137,0.4039590000000075,0.36949999999999505
138,0.3788339999999977,0.3540000000000063
139,0.39154199999998696,0.3638750000000073
140,0.3973749999999825,0.3697089999999861
141,0.41270799999999497,0.3862919999999974
142,0.38120900000001257,0.3604580000000084
143,0.38991699999999696,0.37220800000000054
144,0.42558300000000315,0.40541600000001665
145,0.43200000000000216,0.39408299999999485
146,0.40399999999999636,0.38212500000000205
147,0.43662499999999227,0.4105000000000132
148,0.42383399999998517,0.399667000000008
149,0.48620800000000486,0.44795799999999986
150,0.4469579999999951,0.4205000000000041
151,0.48262499999999875,0.433250000000001
152,0.43591599999999175,0.42029200000000344
153,0.4895830000000103,0.5508749999999907
154,0.48262499999999875,0.44845800000001645
155,0.5058329999999955,0.45087499999999636
156,0.4665000000000106,0.43737500000000296
157,0.47520799999999497,0.436916999999994
158,0.5039999999999907,0.45324999999999704
159,0.5213330000000127,0.48629100000000847
160,0.520417000000009,0.48716699999999946
161,0.5184170000000137,0.4630830000000117
162,0.5166250000000048,0.4832499999999982
163,0.5069169999999872,0.4673750000000041
164,0.5847500000000139,0.5076669999999979
165,0.5436249999999916,0.49670799999999815
166,0.5671660000000003,0.5407920000000104
167,0.5508749999999907,0.5283330000000035
168,0.600166999999999,0.5232919999999979
169,0.5530000000000115,0.5125839999999897
170,0.5343749999999972,0.5085420000000056
171,0.5114589999999879,0.522500000000008
172,0.5008749999999935,0.5115829999999875
173,0.5369999999999919,0.5509160000000008
174,0.5243340000000103,0.5428330000000017
175,0.5277080000000041,0.5278749999999945
176,0.5116250000000093,0.5265839999999855
177,0.5220410000000015,0.5325829999999883
178,0.539874999999995,0.5494160000000079
179,0.5327079999999995,0.5685000000000002
180,0.539709000000002,0.5598339999999951
181,0.5627500000000083,0.5773749999999893
182,0.5714170000000109,0.5783749999999941
183,0.568957999999995,0.5809169999999995
184,0.5715000000000003,0.5640000000000072
185,0.5916669999999868,0.5772089999999963
186,0.6395830000000018,0.6124999999999972
187,0.5537080000000003,0.5846670000000103
188,0.5832920000000001,0.5714590000000044
189,0.5824159999999949,0.6015830000000051
190,0.599458999999996,0.6079579999999964
191,0.6278339999999929,0.647584000000009
192,0.6027500000000003,0.6383330000000029
193,0.5934999999999917,0.6159999999999997
194,0.6377499999999969,0.6581250000000125
195,0.6964579999999785,0.6875420000000076
196,0.6720420000000047,0.6625830000000121
197,0.6156669999999735,0.658332999999999
198,0.6335420000000056,0.6408330000000149
199,0.6522080000000017,0.6432499999999948
200,0.6440839999999923,0.6550419999999804
201,0.6583339999999964,0.6707499999999982
202,0.6419579999999883,0.6672920000000033
203,0.689249999999987,0.6924169999999776
204,0.6954579999999737,0.7200409999999806
205,0.7204160000000002,0.7426250000000039
206,0.6885000000000048,0.720957999999996
207,0.7525830000000155,0.7422500000000127
208,0.7204580000000078,0.7230410000000234
209,0.7350000000000136,0.7388749999999789
210,0.6955420000000174,0.7090419999999824
211,0.7266249999999843,0.7287499999999909
212,0.68912499999999,0.7142920000000288
213,0.7168749999999875,0.7266250000000127
214,0.7305840000000217,0.7796670000000177
215,0.7437499999999773,0.7612079999999821
216,0.7973749999999882,0.8205830000000276
217,0.7749169999999879,0.7910830000000146
218,0.8032920000000274,0.7714579999999955
219,0.7511659999999836,0.7482909999999947
